,書名,類別,字數,大綱,狀態,評分
0,paradigm·parasite 範式寄生體,奇幻 冒險 黑暗 獵奇 人外,34.1萬,既然沒有死的理由，就隨心所欲地去旅行吧。遇到的阻礙者就殺掉好了。 對人生絕望，而選擇自盡的主角醒來後發現自己在一個...,連載,9.7
1,葬送的芙莉蓮 ～前奏～,奇幻 冒險 異世界 女性視角,2.9萬,在漫畫《葬送的芙莉蓮》的原作者山田鍾人的監修下，小說家八目迷將這部目前正熱播的TV動畫的前傳故事化為小說！ 本書描繪了...,連載,10
2,女高中生小春在異世界成為娼妓 ...,穿越 冒險 黑暗 JK 女性視角,11.1萬,儘管先前的故事已告一段落，但小春仍在異世界愉快地活著。 本書收錄以千葉為視點，在進入異世界前所過生活的前傳「希望有朝...,完結,9.5
3,君主·埃爾梅羅二世的冒險,懸疑 冒險 魔法,69.8萬,「接下來，我要問神。」 為了在時鐘塔塔支部講課，埃爾梅羅II世和坦格雷在夏天訪問了新加坡。 在這個各種文化混雜的國家，...,連載,9.8
4,欺騙色的青春,校園 青春 戀愛 歡樂向,10.2萬,我，城原千太郎是個騙子。 我總是把空虛的自己藏在心底，戴上他人的面具過著每一天。 然而某天，這樣的高中生活被可愛的小...,連載,9.9
5,為美好的世界獻上祝福！,穿越 奇幻 歡樂向 戰鬥 後宮,229.2萬,喜愛遊戲的家裡蹲少年佐藤和真的人生突然閉幕……原本應該是如此，但是當他醒過來時，眼前出現一名自稱是女神的美少女。 「你...,完結,9.8
6,藥師少女的獨語,懸疑 戀愛 女性視角,146.6萬,位處大陸中央的某個大國，有位姑娘置身皇帝宮闕之中。姑娘名喚貓貓，原在煙花巷擔任藥師，眼下在後宮做下女。這個絕對稱不上...,連載,9.8
7,命定の人是妻子的妹妹。,奇幻 戀愛 後宮,19萬,本人御堂大吾，在不知道對方相貌的情況下貿然結婚 ──即所謂的「盲婚」。 在約定地點出現的，是美如天仙的妻子…… 並不是...,連載,9.6
8,孽緣性夥伴和小惡魔後輩變成了...,校園 青梅竹馬 戀愛 後宮 歡樂向,82.3萬,某一天，男高中生百瀨友斗，因父親再婚和兩名少女成為義兄妹。 一個是從中學開始就和友斗是性夥伴關係的同學綾辻澪。 另一...,連載,9.7
9,Nothing can be explained,校園 戀愛 歡樂向,7.8萬,孤獨、沒朋友的少女岑羲芷平淡無奇的生活闖入了高大瀟洒的大學生家教林肇謇，封閉的心扉漸漸被其打開。但是，那個胸很大的女...,連載,9.8
